Model,Accuracy (%),Avg Human Score (on Error),Total Errors
8. Capped 0.8 (Exp 5a),92.21999645233154,6.020565509796143,778
9. Swap+Capped 0.8 (Exp 5b),92.21999645233154,6.020565509796143,778
4. Static KL (Exp 3a),93.47999691963196,6.013803482055664,652
2. Baseline (Exp 1),93.32999587059021,5.955022811889648,667
3. SBLS (Exp 2),93.80999803543091,5.954765796661377,619
6. Dynamic Basic (Exp 4a),93.30999851226807,5.916293144226074,669
5. Static WMSE (Exp 3b),93.35999488830566,5.9126505851745605,664
7. Dynamic Boost (Exp 4b),93.58999729156494,5.897036075592041,641
1. Probe (Teacher),91.92000031471252,5.845296859741211,808
